"","BrandName","CakeColor","Height","Average","Diff"
"1","Betty Crocker","Yellow",35.5,35.4,0.100000000000001
"2","Betty Crocker","Yellow",36,35.4,0.600000000000001
"3","Betty Crocker","Brown",35.5,35.4,0.100000000000001
"4","Betty Crocker","Brown",37.5,35.4,2.1
"5","Betty Crocker","White",32.5,35.4,-2.9
"6","Betty Crocker","White",32.5,35.4,-2.9
"7","Duncan Hines","Brown",39,34.9,4.1
"8","Duncan Hines","Brown",36.5,34.9,1.6
"9","Duncan Hines","White",30.5,34.9,-4.4
"10","Duncan Hines","White",34.5,34.9,-0.399999999999999
"11","Duncan Hines","Yellow",37,34.9,2.1
"12","Duncan Hines","Yellow",35,34.9,0.100000000000001
