Test_Type,Subject,Score
Computer,Math,85
Computer,Math,70
Computer,Math,90
Computer,Math,82
Computer,Math,63
Computer,Math,84
Computer,Math,68
Computer,Math,72
Computer,Math,65
Computer,Math,72
Computer,Math,79
Computer,Math,80
Computer,Art,77
Computer,Art,89
Computer,Art,69
Computer,Art,82
Computer,Art,70
Computer,Art,87
Computer,Art,92
Computer,Art,65
Computer,Art,75
Computer,Art,83
Computer,Art,82
Computer,Art,78
Computer,Reading,68
Computer,Reading,75
Computer,Reading,85
Computer,Reading,66
Computer,Reading,80
Computer,Reading,74
Computer,Reading,82
Computer,Reading,76
Computer,Reading,92
Computer,Reading,82
Computer,Reading,87
Computer,Reading,92
Paper,Math,95
Paper,Math,89
Paper,Math,92
Paper,Math,66
Paper,Math,75
Paper,Math,60
Paper,Math,75
Paper,Math,82
Paper,Math,78
Paper,Math,69
Paper,Math,70
Paper,Math,75
Paper,Art,92
Paper,Art,88
Paper,Art,86
Paper,Art,70
Paper,Art,96
Paper,Art,60
Paper,Art,77
Paper,Art,82
Paper,Art,79
Paper,Art,85
Paper,Art,72
Paper,Art,80
Paper,Reading,72
Paper,Reading,74
Paper,Reading,69
Paper,Reading,85
Paper,Reading,60
Paper,Reading,83
Paper,Reading,82
Paper,Reading,86
Paper,Reading,77
Paper,Reading,72
Paper,Reading,74
Paper,Reading,88
