Country,MPG
United States,18
United States,15
United States,18
United States,16
United States,17
United States,15
United States,14
United States,14
United States,14
United States,15
United States,15
United States,14
United States,15
United States,14
United States,22
United States,18
United States,21
United States,21
United States,10
United States,10
United States,11
United States,9
United States,28
United States,25
United States,19
United States,16
United States,17
United States,19
Japan,24
Japan,27
Japan,27
Japan,25
Japan,31
Japan,35
Japan,24
Japan,19
Japan,28
Japan,23
Japan,27
Japan,20
Japan,22
Japan,18
Japan,20
Japan,31
Japan,32
Japan,31
Japan,32
Japan,24
Japan,26
Japan,29
Japan,24
Japan,24
Japan,33
Japan,33
Japan,32
Japan,28
